semantic_identity,question_id,role,proposed_form_count,accepted_form_count,published_form_count
question:budget:budgetyear-otherdirectcosts-otherdirectcost10-cost::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost10-cost,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost10-cost::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost10-cost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost10-cost::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost10-cost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost10-description::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost10-description,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost10-description::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost10-description,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost10-description::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost10-description,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost2-cost::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost2-cost,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost2-cost::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost2-cost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost2-cost::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost2-cost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost2-description::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost2-description,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost2-description::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost2-description,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost2-description::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost2-description,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost3-cost::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost3-cost,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost3-cost::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost3-cost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost3-cost::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost3-cost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost3-description::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost3-description,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost3-description::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost3-description,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost3-description::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost3-description,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost4-cost::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost4-cost,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost4-cost::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost4-cost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost4-cost::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost4-cost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost4-description::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost4-description,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost4-description::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost4-description,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost4-description::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost4-description,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost5-cost::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost5-cost,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost5-cost::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost5-cost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost5-cost::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost5-cost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost5-description::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost5-description,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost5-description::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost5-description,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost5-description::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost5-description,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost6-cost::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost6-cost,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost6-cost::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost6-cost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost6-cost::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost6-cost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost6-description::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost6-description,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost6-description::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost6-description,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost6-description::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost6-description,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost7-cost::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost7-cost,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost7-cost::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost7-cost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost7-cost::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost7-cost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost7-description::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost7-description,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost7-description::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost7-description,multi_project_applicant_budget,1,0,0
